344;-54248;41836
345;-47281;54224
346;-39296;62800
347;-32895;65520
348;-30197;64714
349;-29924;62982
350;-30298;60711
351;-31042;58029
352;-32061;55032
353;-33281;51784
354;-34656;48317
355;-36158;44663
356;-37751;40847
357;-39412;36883
358;-41121;32776
359;-42872;28546
360;-44644;24188
361;-46428;19726
362;-48202;15148
363;-49959;10453
364;-51691;5678
365;-53370;785
366;-54998;-4194
367;-56554;-9255
368;-58023;-14408
369;-59403;-19588
370;-60654;-24834
371;-61786;-30058
372;-62768;-35252
373;-63597;-40349
374;-64266;-45252
375;-64772;-49886
376;-65127;-54125
377;-65350;-57844
378;-65469;-60928
379;-65518;-63277
380;-65533;-64812
381;-65535;-65498
382;-65532;-65317
383;-65511;-64265
384;-65439;-62331
385;-65259;-59480
386;-64891;-55625
387;-64217;-50616
388;-63066;-44183
389;-61173;-35879
390;-58104;-24968
391;-53114;-10193
392;-44837;0
393;-37915;0
394;-37142;0
395;-36362;0
396;-35574;0
397;-34779;0
398;-33976;0
399;-33167;0
400;-32351;0
401;-31528;0
402;-30698;0
403;-29862;0
404;-29020;0
405;-28172;0
406;-27319;0
407;-26459;0
408;-25594;0
409;-24724;0
410;-23849;0
411;-22969;0
412;-22083;0
413;-21194;0
414;-20300;0
415;-19402;0
416;-18500;0
417;-17594;0
418;-16683;0
419;-15770;0
420;-14855;0
421;-13935;0
422;-13012;0
423;-12087;0
424;-11160;0
425;-10230;0
426;-9298;0
427;-8364;0
428;-7429;0
429;-6491;0
430;-5553;0
431;-4613;0
432;-3673;0
433;-2731;0
434;-1790;0
435;-847;0
436;87;829
437;1676;10819
438;10422;30870
439;26384;54726
440;42948;65372
441;49520;64200
442;49537;62257
443;49152;59746
444;48465;56806
445;47533;53541
446;46402;50011
447;45093;46300
448;43641;42428
449;42054;38466
450;40369;34395
451;38568;30298
452;36706;26137
453;34758;21977
454;32765;17775
455;30698;13603
456;28620;9398
457;26476;5253
458;24345;1061
459;22149;-3014
460;20019;-7198
461;17775;-11166
462;15673;-15325
463;13406;-19156
464;11377;-23280
465;9105;-26947
466;7185;-31004
467;4952;-34496
468;3152;-38410
469;1023;-41720
470;-628;-45425
471;-2594;-48524
472;-4081;-51865
473;-5759;-54719
474;-7048;-57552
475;-8327;-59994
476;-9292;-62160
477;-10044;-63878
478;-10441;-65065
479;-10435;-65535
480;-9864;-65030
481;-8538;-63143
482;-6129;-59186
483;-2091;-51945
484;4526;-39226
485;15319;-17351
486;32138;0
487;43936;0
488;44630;0
489;45316;0
490;45992;0
491;46659;0
492;47316;0
493;47963;0
494;48600;0
495;49228;0
496;49844;0
497;50451;0
498;51047;0
499;51634;0
500;52208;0
501;52773;0
502;53326;0
503;53869;0
504;54400;0
505;54919;0
506;55428;0
507;55925;0
508;56410;0
509;56884;0
510;57346;0
511;57797;0
512;58235;0
513;58661;0
514;59075;0
515;59478;0
516;59866;0
517;60244;0
518;60609;0
519;60961;0
520;61301;0
521;61628;0
522;61942;0
523;62243;0
524;62532;0
525;62807;0
526;63069;0
527;63320;0
528;63556;0
529;63779;0
530;63989;0
531;64186;0
532;64369;2085
533;64803;10261
534;65490;18662
535;65336;25531
536;64538;31192
537;63384;36105
538;61995;40448
539;60448;44345
540;58790;47843
541;57067;51016
542;55300;53869
543;53530;56436
544;51768;58712
545;50048;60700
546;48397;62387
547;46839;63756
548;45407;64771
549;44136;65383
550;43076;65519
